Date,Oil Investments,Gold Investments,Comp Stock,Other sharesInvestments
04-05-2010,-0.040143868,0,-0.028796689,-0.055713163
05-05-2010,-0.032998912,-0.016877637,-0.010398929,0.008472549
06-05-2010,-0.03525,0.017381974,-0.0380484,-0.016955519
07-05-2010,-0.026949987,0.014342966,-0.042192846,-0.028979907
10-05-2010,0.023834887,-0.004782699,0.076867633,0.050487997
11-05-2010,-0.006762908,0.021730046,0.009961006,-0.006321777
12-05-2010,-0.009427786,0.012269939,0.021713726,0.026138187
13-05-2010,-0.016787839,0,-0.014231722,-0.017927796
14-05-2010,-0.037241194,-0.000808081,-0.017572476,-0.022362531
17-05-2010,-0.021365731,-0.000404367,0.001575952,0.002956547
18-05-2010,-0.009988585,-0.015574434,-0.007316435,-0.020401869
19-05-2010,0.007639089,-0.017875488,-0.015929687,-0.013382982
20-05-2010,-0.023315692,-0.00251046,-0.042602868,-0.03916845
21-05-2010,-0.003661394,-0.010276846,0.019178987,0.025144115
24-05-2010,0.00293988,0.00614537,0.018322859,-0.004889162
25-05-2010,-0.050564268,0.009477675,-0.006240825,0.02243693
26-05-2010,0.104044458,0.011475068,-0.004526592,-0.013214817
27-05-2010,0.042505593,-0.000825083,0.037851789,0.028325607
28-05-2010,-0.00751073,-0.002890173,0.013933358,-0.009786883
01-06-2010,-0.017567568,0.016770186,0.01537681,-0.017694891
02-06-2010,0.002475929,-0.01038485,0.01196178,0.024910744
03-06-2010,0.023874863,0,-0.00314455,0.019396699
04-06-2010,-0.042749933,-0.009465021,-0.027211836,-0.046520645
07-06-2010,0.001679966,0.009555463,-0.01961247,-0.006190397
08-06-2010,0.004612159,0.025514403,-0.006415876,-0.025981526
09-06-2010,0.034780189,-0.010032103,-0.024585854,-0.007825581
10-06-2010,0.014788922,-0.01297122,0.030057544,0.044949494
11-06-2010,-0.021065183,0.002053388,0.01197553,-0.00146092
14-06-2010,0.014886994,0.003073771,0.003037356,0.006502504
15-06-2010,0.024669956,0.001021451,0.021275783,0.02430747
16-06-2010,0.010801666,0.007755102,0.029111579,0.000473084
17-06-2010,-0.010943736,0.008505468,0.017287185,-0.007959046
18-06-2010,0.00468628,0.008835341,0.008092188,-0.000476583
21-06-2010,0.008551438,-0.001194268,-0.01422997,-0.026066907
22-06-2010,-0.008864337,-0.014746911,0.013621046,-0.001958425
23-06-2010,-0.016202204,-0.007686084,-0.010516743,-0.007031322
24-06-2010,0.000790514,0.00794945,-0.007270189,-0.025689544
25-06-2010,0.032780411,0.014357937,-0.008550201,0.022563999
28-06-2010,-0.002421925,0.005582137,0.005999292,-0.026446256
29-06-2010,-0.029772553,-0.021015067,-0.045210556,-0.078013597
30-06-2010,-0.004477809,0.007695423,-0.018112968,0.005984725
01-07-2010,-0.034925255,-0.008038585,-0.01212581,0.015559189
02-07-2010,-0.012200137,-0.026337115,-0.00619771,-0.016402307
06-07-2010,-0.001387732,-0.005409904,0.006843752,0.008429531
07-07-2010,0.029043913,-0.001464435,0.040381355,0.030619681
08-07-2010,0.019041188,0.000209512,-0.002242289,0.024596676
09-07-2010,0.008216274,0.012777545,0.005928153,0.008948554
12-07-2010,-0.015115668,-0.002688728,-0.008974625,0.019188129
13-07-2010,0.02976111,0.008710079,-0.021337798,0.034641452
14-07-2010,-0.001814412,-0.007401316,0.003693431,-0.002830562
15-07-2010,-0.004544274,0.0008285,-0.00506469,-0.010056812
16-07-2010,-0.009260467,-0.015521523,-0.006164231,-0.029247911
19-07-2010,0.007503949,-0.006937145,-0.01728689,0.012237354
20-07-2010,0.010322749,0.00169348,0.025694257,0.001333967
21-07-2010,-0.013579928,0.007185123,0.009329433,-0.022231458
22-07-2010,0.035925003,0.006714226,0.018801129,0.022481478
23-07-2010,-0.004176687,-0.007503126,0.003551834,-0.009994145
26-07-2010,0.003177428,-0.005879882,-0.002539001,-0.003953908
27-07-2010,-0.018624097,-0.013096747,0.018512824,-0.010726393
28-07-2010,-0.005163956,-0.009417808,-0.011814673,0
29-07-2010,0.016091357,0.004753673,-0.010921218,-0.002305097
30-07-2010,0.007024266,0.005591398,-0.003331882,0.008813948
02-08-2010,0.03043754,0.016680924,0.017881442,0.018491823
03-08-2010,0.015630769,-0.000841397,0.000305503,0.0195719
04-08-2010,-0.000363548,0.010105263,0.004008758,0.042150009
05-08-2010,-0.005940114,-0.005835765,-0.004867313,0.001959555
06-08-2010,-0.016219512,0.01278826,-0.006152056,0.003833255
09-08-2010,0.009792984,-0.003932933,0.006382356,0.0039744
10-08-2010,-0.014976676,-0.00872818,-0.008939836,0.00908172
11-08-2010,-0.026794616,0.010901468,-0.035542196,-0.031615392
12-08-2010,-0.030861826,0.006221485,0.006395184,0.005322099
13-08-2010,-0.003831924,0.001030503,-0.010683597,-0.014775569
16-08-2010,-0.002918159,0.007617871,-0.005861004,0.011067431
